klsm128, 1, 23995105
klsm128, 1, 23970545
klsm128, 1, 23262032
klsm128, 1, 23224653
klsm128, 1, 23370789
klsm128, 2, 45685277
klsm128, 2, 46036108
klsm128, 2, 45715351
klsm128, 2, 45672060
klsm128, 2, 45990730
klsm128, 3, 68544788
klsm128, 3, 68471678
klsm128, 3, 68402340
klsm128, 3, 68454982
klsm128, 3, 68331369
klsm128, 5, 109606181
klsm128, 5, 109446789
klsm128, 5, 109457876
klsm128, 5, 109304123
klsm128, 5, 109168331
klsm128, 10, 160831304
klsm128, 10, 160377891
klsm128, 10, 160861987
klsm128, 10, 161397190
klsm128, 10, 160932054
klsm128, 15, 172337088
klsm128, 15, 174711659
klsm128, 15, 175086831
klsm128, 15, 172621172
klsm128, 15, 173063388
klsm128, 20, 176076054
klsm128, 20, 179481873
klsm128, 20, 179673385
klsm128, 20, 174795444
klsm128, 20, 177781745
klsm256, 1, 21595868
klsm256, 1, 21514065
klsm256, 1, 21525043
klsm256, 1, 21562738
klsm256, 1, 21603552
klsm256, 2, 42589207
klsm256, 2, 42552263
klsm256, 2, 42594276
klsm256, 2, 42772952
klsm256, 2, 42596432
klsm256, 3, 63327982
klsm256, 3, 63687382
klsm256, 3, 63412980
klsm256, 3, 63502498
klsm256, 3, 63445272
klsm256, 5, 102565945
klsm256, 5, 102354396
klsm256, 5, 102440438
klsm256, 5, 102713981
klsm256, 5, 102484288
klsm256, 10, 161085494
klsm256, 10, 161436747
klsm256, 10, 161445482
klsm256, 10, 160041297
klsm256, 10, 160347818
klsm256, 15, 177582938
klsm256, 15, 182781486
klsm256, 15, 177318945
klsm256, 15, 177496029
klsm256, 15, 176987989
klsm256, 20, 180395861
klsm256, 20, 181738955
klsm256, 20, 184944808
klsm256, 20, 182832674
klsm256, 20, 183889488
